Basel/Allschwilerstrasse/2;Basel/Allschwilerstrasse/3;100.4
Basel/Allschwilerstrasse/3;Basel/Allschwilerstrasse/4;126.7
Basel/Allschwilerstrasse/4;Basel/Allschwilerstrasse/5;199.5
Basel/Allschwilerstrasse/5;Basel/Allschwilerstrasse/6;35.3
Basel/Allschwilerstrasse/6;Basel/Allschwilerstrasse/7;95.0
Basel/Allschwilerstrasse/7;Basel/Allschwilerstrasse/8;82.9
Basel/Allschwilerstrasse/8;Basel/Allschwilerstrasse/9;59.2
Basel/Allschwilerstrasse/9;Basel/Spalenring/1;102.8
Basel/Spalenring/1;Basel/Weiherweg/4;110.0
Basel/Weiherweg/4;Basel/Weiherweg/3;104.9
Basel/Weiherweg/3;Basel/Weiherweg/2;92.3
Basel/Weiherweg/2;Basel/Weiherweg/1;150.4
Basel/Weiherweg/1;Basel/Wanderstrasse/4;103.4
Basel/Wanderstrasse/4;Basel/Wanderstrasse/3;143.5
Basel/Wanderstrasse/3;Basel/Wanderstrasse/2;114.0
Basel/Wanderstrasse/2;Basel/Wanderstrasse/1;156.5
Basel/Wanderstrasse/1;Basel/GottfriedKellerStrasse/1;201.1
Basel/GottfriedKellerStrasse/1;Basel/Allschwilerstrasse/1;330.5
Basel/GottfriedKellerStrasse/1;Basel/StGallerRing/2;162.0
Basel/StGallerRing/1;Basel/StGallerRing/2;212.2
Basel/StGallerRing/2;Basel/StGallerRing/3;68.1
Basel/Allschwilerstrasse/2;Basel/StGallerRing/1;118.6
Basel/StGallerRing/3;Basel/Wanderstrasse/2;114.0
Basel/Allschwilerstrasse/3;Basel/Gotthelfstrasse/1;128.5
Basel/Gotthelfstrasse/1;Basel/Gotthelfstrasse/2;83.1
Basel/Gotthelfstrasse/2;Basel/Gotthelfstrasse/3;121.5
Basel/Gotthelfstrasse/3;Basel/Gotthelfstrasse/4;63.9
Basel/Gotthelfstrasse/4;Basel/Wanderstrasse/3;107.1
Basel/StGallerRing/1;Basel/Gotthelfstrasse/1;101.2
Basel/StGallerRing/2;Basel/Gotthelfstrasse/3;111.2
Basel/StGallerRing/3;Basel/Gotthelfstrasse/4;112.9
Basel/Gotthelfstrasse/4;Basel/Wanderstrasse/4;167.9
Basel/Gotthelfstrasse/1;Basel/Eichenstrasse/1;123.5
Basel/Eichenstrasse/1;Basel/Eichenstrasse/2;91.6
Basel/Allschwilerstrasse/4;Basel/Eichenstrasse/1;131.4
Basel/Gotthelfstrasse/2;Basel/Eichenstrasse/2;133.2
Basel/Gotthelfstrasse/3;Basel/Eichenstrasse/2;135.0
Basel/Eichenstrasse/1;Basel/Saengergasse/1;122.0
Basel/Allschwilerstrasse/5;Basel/Saengergasse/1;52.6
Basel/Saengergasse/1;Basel/Saengergasse/2;107.5
Basel/Eichenstrasse/2;Basel/Saengergasse/2;52.2
Basel/Gotthelfstrasse/3;Basel/Herrengrabenweg/2;168.1
Basel/Herrengrabenweg/2;Basel/Weiherweg/1;115.7
Basel/Allschwilerstrasse/6;Basel/Herrengrabenweg/1;161.6
Basel/Saengergasse/2;Basel/Herrengrabenweg/1;59.1
Basel/Herrengrabenweg/1;Basel/Herrengrabenweg/2;142.5
Basel/Allschwilerstrasse/7;Basel/Blauenstrasse/1;173.1
Basel/Herrengrabenweg/1;Basel/Blauenstrasse/1;102.3
Basel/Blauenstrasse/1;Basel/Weiherweg/1;161.4
Basel/Blauenstrasse/1;Basel/ImZimmerhof/2;47.2
Basel/ImZimmerhof/2;Basel/ImZimmerhof/1;76.9
Basel/ImZimmerhof/2;Basel/Belchenstrasse/1;25.5
Basel/Belchenstrasse/1;Basel/Weiherweg/2;105.9
Basel/Belchenstrasse/1;Basel/Rudolfstrasse/1;84.1
Basel/Allschwilerstrasse/8;Basel/Rudolfstrasse/1;138.5
Basel/Rudolfstrasse/1;Basel/Weiherweg/3;110.4
Basel/Rudolfstrasse/1;Basel/Spalenring/1;85.0
